,date,year,month,day,tmin(°C),tmax(°C),tavg(°C),precipitaciones(mm)
2643,1965-08-13,1965,8,13,9.8,20.5,13.5,0.3
3348,1967-07-19,1967,7,19,1.6,11.0,7.1,0.5
3387,1967-08-27,1967,8,27,2.0,19.4,9.8,0.5
3388,1967-08-28,1967,8,28,2.1,20.7,8.1,0.0
3395,1967-09-04,1967,9,4,4.8,9.4,6.8,1.0
3396,1967-09-05,1967,9,5,-2.5,17.6,6.2,0.0
3403,1967-09-12,1967,9,12,2.1,17.5,10.4,0.5
3404,1967-09-13,1967,9,13,0.9,24.4,11.2,0.0
3418,1967-09-27,1967,9,27,9.5,17.8,12.7,0.5
3419,1967-09-28,1967,9,28,9.2,15.5,11.9,1.0
3420,1967-09-29,1967,9,29,6.8,17.8,10.2,1.0
3421,1967-09-30,1967,9,30,4.6,23.4,13.9,0.0
3438,1967-10-17,1967,10,17,9.7,18.0,10.3,7.9
3439,1967-10-18,1967,10,18,8.0,17.2,12.0,0.0
3441,1967-10-20,1967,10,20,9.1,18.0,14.2,0.3
3442,1967-10-21,1967,10,21,2.5,23.7,12.2,0.0
3445,1967-10-24,1967,10,24,15.0,29.2,20.8,0.5
3446,1967-10-25,1967,10,25,14.5,29.8,21.8,0.0
3447,1967-10-26,1967,10,26,15.4,33.4,26.3,0.5
3448,1967-10-27,1967,10,27,16.5,25.4,21.2,0.0
3454,1967-11-02,1967,11,2,8.4,27.7,17.6,0.5
3456,1967-11-04,1967,11,4,13.3,27.0,20.0,0.5
3457,1967-11-05,1967,11,5,11.5,30.5,21.3,1.0
3458,1967-11-06,1967,11,6,15.0,33.0,23.5,0.0
3500,1967-12-18,1967,12,18,21.5,29.4,25.6,2.0
3501,1967-12-19,1967,12,19,19.7,33.2,24.3,0.0
3502,1967-12-20,1967,12,20,19.8,29.8,25.2,0.5
3503,1967-12-21,1967,12,21,15.5,30.9,24.9,0.0
3506,1967-12-24,1967,12,24,20.5,34.7,28.2,0.5
3507,1967-12-25,1967,12,25,19.4,37.3,31.1,0.0
3511,1967-12-29,1967,12,29,19.3,33.0,27.3,0.5
3512,1967-12-30,1967,12,30,20.1,32.2,27.8,0.0
3532,1968-01-19,1968,1,19,18.0,26.7,21.6,1.0
3533,1968-01-20,1968,1,20,10.2,33.4,22.6,0.0
3539,1968-01-26,1968,1,26,15.1,31.5,23.9,0.5
3540,1968-01-27,1968,1,27,17.2,35.6,28.0,0.0
3548,1968-02-04,1968,2,4,19.5,31.8,26.2,6.1
3549,1968-02-05,1968,2,5,19.2,33.0,25.8,0.5
3550,1968-02-06,1968,2,6,21.0,29.8,25.0,0.0
3556,1968-02-12,1968,2,12,18.5,28.2,22.1,2.0
3557,1968-02-13,1968,2,13,14.6,29.8,22.8,0.0
3562,1968-02-18,1968,2,18,17.4,34.0,26.7,0.5
3563,1968-02-19,1968,2,19,18.5,34.0,26.1,0.0
3574,1968-03-01,1968,3,1,22.0,30.4,26.1,4.1
3575,1968-03-02,1968,3,2,19.4,34.0,27.8,0.0
3576,1968-03-03,1968,3,3,18.3,32.4,25.6,5.1
3577,1968-03-04,1968,3,4,19.0,25.7,23.1,0.0
3578,1968-03-05,1968,3,5,15.5,22.5,19.3,0.5
3579,1968-03-06,1968,3,6,17.0,23.8,19.4,1.0
3580,1968-03-07,1968,3,7,16.5,24.8,21.1,1.0
3581,1968-03-08,1968,3,8,16.5,24.8,21.4,0.0
3588,1968-03-15,1968,3,15,9.4,20.5,14.4,0.5
3589,1968-03-16,1968,3,16,11.2,23.2,16.5,0.0
3598,1968-03-25,1968,3,25,9.0,19.0,12.8,0.5
3599,1968-03-26,1968,3,26,2.2,26.3,14.6,0.0
3604,1968-03-31,1968,3,31,10.5,20.0,12.2,0.5
3605,1968-04-01,1968,4,1,8.3,17.0,11.4,0.0
3608,1968-04-04,1968,4,4,12.1,21.6,15.9,4.1
3609,1968-04-05,1968,4,5,10.0,24.6,17.0,0.0
3620,1968-04-16,1968,4,16,12.5,19.3,15.0,4.1
3621,1968-04-17,1968,4,17,6.7,20.8,13.6,16.0
3622,1968-04-18,1968,4,18,8.6,17.7,11.1,0.0
3623,1968-04-19,1968,4,19,6.0,18.4,11.8,2.0
3624,1968-04-20,1968,4,20,8.9,20.4,12.7,0.0
3645,1968-05-11,1968,5,11,6.0,25.6,17.3,1.0
3646,1968-05-12,1968,5,12,6.2,26.4,15.6,0.0
3655,1968-05-21,1968,5,21,8.4,18.7,13.7,0.5
3656,1968-05-22,1968,5,22,4.5,17.3,8.7,0.0
3670,1968-06-05,1968,6,5,7.0,12.6,9.7,0.5
3671,1968-06-06,1968,6,6,7.0,11.6,8.9,0.0
3679,1968-06-14,1968,6,14,2.6,16.2,11.2,4.1
3680,1968-06-15,1968,6,15,5.2,10.5,7.8,0.0
3691,1968-06-26,1968,6,26,5.8,12.5,8.2,0.5
3692,1968-06-27,1968,6,27,0.3,15.2,6.9,0.0
3770,1968-09-13,1968,9,13,3.5,7.7,5.5,0.5
3771,1968-09-14,1968,9,14,4.1,13.6,9.1,0.0
3785,1968-09-28,1968,9,28,8.5,20.6,12.9,3.0
3786,1968-09-29,1968,9,29,6.7,26.0,16.8,0.0
3797,1968-10-10,1968,10,10,13.6,25.5,19.5,17.0
3798,1968-10-11,1968,10,11,11.5,27.7,19.7,0.0
3799,1968-10-12,1968,10,12,15.6,30.6,23.2,0.5
3800,1968-10-13,1968,10,13,17.2,28.0,22.6,2.0
3801,1968-10-14,1968,10,14,12.1,26.0,19.5,0.0
3836,1968-11-18,1968,11,18,16.4,33.4,27.9,18.0
3837,1968-11-19,1968,11,19,18.5,36.6,28.3,0.0
3851,1968-12-03,1968,12,3,18.6,33.2,27.9,2.0
3852,1968-12-04,1968,12,4,20.2,30.1,26.0,2.0
3853,1968-12-05,1968,12,5,14.5,31.8,24.7,0.0
3875,1968-12-27,1968,12,27,14.6,30.0,22.1,2.0
3876,1968-12-28,1968,12,28,13.4,34.0,25.8,0.0
5492,1973-06-01,1973,6,1,4.5,21.4,12.0,0.0
5495,1973-06-04,1973,6,4,3.9,19.4,12.0,0.0
5496,1973-06-05,1973,6,5,8.3,15.4,12.8,0.0
5497,1973-06-06,1973,6,6,7.0,9.8,8.3,2.0
5498,1973-06-07,1973,6,7,6.6,9.5,7.6,0.0
5499,1973-06-08,1973,6,8,4.0,17.2,9.2,3.0
5500,1973-06-09,1973,6,9,2.2,18.2,7.2,0.0
5503,1973-06-12,1973,6,12,2.4,14.1,9.2,0.0
5504,1973-06-13,1973,6,13,-1.0,14.5,5.6,0.0
5505,1973-06-14,1973,6,14,0.0,15.3,6.1,0.0
5506,1973-06-15,1973,6,15,0.6,19.5,6.0,0.0
5509,1973-06-18,1973,6,18,0.0,19.5,7.6,0.0
5512,1973-06-21,1973,6,21,1.5,21.9,11.9,0.0
5513,1973-06-22,1973,6,22,3.0,18.9,10.9,0.0
5514,1973-06-23,1973,6,23,0.2,11.9,7.7,0.0
5515,1973-06-24,1973,6,24,0.0,15.7,8.2,0.0
5517,1973-06-26,1973,6,26,0.6,14.2,8.4,0.0
5518,1973-06-27,1973,6,27,1.4,18.1,8.6,0.0
5519,1973-06-28,1973,6,28,-0.6,14.1,7.6,2.0
5520,1973-06-29,1973,6,29,0.1,16.8,9.1,0.0
5521,1973-06-30,1973,6,30,1.5,13.9,7.4,0.0
5525,1973-07-04,1973,7,4,-0.2,16.9,8.8,0.0
5527,1973-07-06,1973,7,6,3.5,7.9,5.1,0.0
5528,1973-07-07,1973,7,7,-2.0,16.3,5.8,0.0
5529,1973-07-08,1973,7,8,6.6,13.1,10.4,0.0
5530,1973-07-09,1973,7,9,2.0,18.9,11.5,0.0
5531,1973-07-10,1973,7,10,1.0,18.1,8.8,0.0
5532,1973-07-11,1973,7,11,2.4,16.2,9.4,0.0
5533,1973-07-12,1973,7,12,8.4,13.9,11.1,0.0
5537,1973-07-16,1973,7,16,1.4,5.5,3.5,3.0
5538,1973-07-17,1973,7,17,-0.9,1.4,0.2,2.0
5539,1973-07-18,1973,7,18,-1.6,1.3,0.1,0.0
5541,1973-07-20,1973,7,20,1.4,4.2,2.7,0.0
5542,1973-07-21,1973,7,21,2.0,9.8,4.8,0.0
5543,1973-07-22,1973,7,22,-3.0,11.0,2.9,0.0
5546,1973-07-25,1973,7,25,2.5,8.9,4.8,0.3
5547,1973-07-26,1973,7,26,-1.2,13.4,5.4,0.0
5553,1973-08-01,1973,8,1,1.6,19.4,10.6,0.0
5556,1973-08-04,1973,8,4,4.0,23.3,14.8,0.0
5557,1973-08-05,1973,8,5,7.6,21.2,15.8,0.0
5558,1973-08-06,1973,8,6,3.0,21.7,11.7,0.0
5561,1973-08-09,1973,8,9,-0.4,14.4,8.2,0.0
5563,1973-08-11,1973,8,11,-3.5,14.7,6.5,0.0
5564,1973-08-12,1973,8,12,-1.4,17.9,9.4,0.0
5567,1973-08-15,1973,8,15,3.0,19.3,14.0,0.0
5568,1973-08-16,1973,8,16,3.1,21.7,12.2,0.0
5569,1973-08-17,1973,8,17,6.8,17.3,14.0,0.0
5571,1973-08-19,1973,8,19,2.9,16.9,12.7,0.0
5573,1973-08-21,1973,8,21,2.0,18.1,10.9,0.0
5574,1973-08-22,1973,8,22,0.8,18.1,8.5,0.0
5575,1973-08-23,1973,8,23,2.4,19.7,11.7,0.0
5576,1973-08-24,1973,8,24,4.8,13.1,9.3,0.0
5577,1973-08-25,1973,8,25,-1.5,16.7,8.7,0.0
5578,1973-08-26,1973,8,26,-2.7,17.7,9.6,0.0
5580,1973-08-28,1973,8,28,2.9,19.8,12.9,0.0
5581,1973-08-29,1973,8,29,8.4,18.5,12.9,0.0
5582,1973-08-30,1973,8,30,4.8,22.7,11.1,0.0
5583,1973-08-31,1973,8,31,3.0,23.8,16.0,0.0
5584,1973-09-01,1973,9,1,3.7,25.0,17.9,0.0
5585,1973-09-02,1973,9,2,7.5,25.9,16.3,0.0
5586,1973-09-03,1973,9,3,10.0,18.3,14.9,0.0
5587,1973-09-04,1973,9,4,3.4,18.7,11.6,0.0
5588,1973-09-05,1973,9,5,3.5,16.9,11.8,0.0
5589,1973-09-06,1973,9,6,1.0,16.7,9.3,0.0
5590,1973-09-07,1973,9,7,0.0,18.9,10.1,0.0
5591,1973-09-08,1973,9,8,1.6,21.2,13.6,0.0
5592,1973-09-09,1973,9,9,4.9,25.5,13.7,0.0
5593,1973-09-10,1973,9,10,4.2,24.3,14.3,0.0
5594,1973-09-11,1973,9,11,6.8,21.9,15.1,0.0
5596,1973-09-13,1973,9,13,6.5,20.0,14.2,0.0
5597,1973-09-14,1973,9,14,5.0,17.8,11.8,0.0
5598,1973-09-15,1973,9,15,2.0,22.3,12.5,0.0
5600,1973-09-17,1973,9,17,5.2,15.9,11.4,0.0
5601,1973-09-18,1973,9,18,2.5,17.5,8.7,0.0
5603,1973-09-20,1973,9,20,3.8,23.2,13.3,0.0
5604,1973-09-21,1973,9,21,6.5,26.3,16.2,0.0
5606,1973-09-23,1973,9,23,7.6,28.8,18.7,0.0
5609,1973-09-26,1973,9,26,4.2,18.8,10.3,0.0
5610,1973-09-27,1973,9,27,7.6,19.4,13.3,0.0
5611,1973-09-28,1973,9,28,5.6,19.7,13.8,0.0
5612,1973-09-29,1973,9,29,6.3,18.5,12.9,0.0
5613,1973-09-30,1973,9,30,10.0,23.7,16.2,0.0
5614,1973-10-01,1973,10,1,8.5,26.6,16.9,0.0
5615,1973-10-02,1973,10,2,10.6,27.8,20.6,0.0
5617,1973-10-04,1973,10,4,13.7,24.6,19.3,1.0
5618,1973-10-05,1973,10,5,10.0,27.8,18.8,0.0
5619,1973-10-06,1973,10,6,9.4,24.6,18.1,0.0
5620,1973-10-07,1973,10,7,7.1,28.0,20.8,0.0
5621,1973-10-08,1973,10,8,7.8,28.2,17.7,0.0
5623,1973-10-10,1973,10,10,5.4,21.5,13.3,0.0
5624,1973-10-11,1973,10,11,7.8,22.5,15.6,0.0
5625,1973-10-12,1973,10,12,9.4,20.0,13.9,0.0
5626,1973-10-13,1973,10,13,5.4,26.3,15.0,0.0
5627,1973-10-14,1973,10,14,8.0,29.8,18.8,0.0
5628,1973-10-15,1973,10,15,11.5,30.2,21.9,0.0
5629,1973-10-16,1973,10,16,10.5,24.9,22.0,1.0
5630,1973-10-17,1973,10,17,10.0,31.2,19.8,0.0
5631,1973-10-18,1973,10,18,14.5,31.3,22.1,0.0
5632,1973-10-19,1973,10,19,16.4,32.2,22.8,0.0
5633,1973-10-20,1973,10,20,14.0,36.3,25.7,0.0
5634,1973-10-21,1973,10,21,16.7,29.3,21.2,0.0
5635,1973-10-22,1973,10,22,7.0,16.7,9.2,7.1
5636,1973-10-23,1973,10,23,2.5,19.6,11.8,7.9
5637,1973-10-24,1973,10,24,7.1,22.4,13.7,0.0
5638,1973-10-25,1973,10,25,10.8,21.4,14.6,0.0
5639,1973-10-26,1973,10,26,7.0,27.6,16.3,0.0
5640,1973-10-27,1973,10,27,12.0,27.5,19.9,0.0
5642,1973-10-29,1973,10,29,12.0,25.7,18.3,0.0
5643,1973-10-30,1973,10,30,9.1,25.0,17.9,0.0
5644,1973-10-31,1973,10,31,8.5,17.7,12.2,1.0
5645,1973-11-01,1973,11,1,7.7,15.2,11.8,3.0
5646,1973-11-02,1973,11,2,3.7,23.9,14.3,0.0
5647,1973-11-03,1973,11,3,10.5,20.9,15.3,0.0
5649,1973-11-05,1973,11,5,9.6,31.1,18.3,0.0
5650,1973-11-06,1973,11,6,11.6,24.7,18.8,0.0
5651,1973-11-07,1973,11,7,10.0,25.5,18.4,0.0
5652,1973-11-08,1973,11,8,15.3,26.2,19.0,0.0
5653,1973-11-09,1973,11,9,15.4,20.0,17.6,0.0
5656,1973-11-12,1973,11,12,11.6,22.3,18.6,0.0
5657,1973-11-13,1973,11,13,14.6,25.7,18.9,0.0
5658,1973-11-14,1973,11,14,14.1,29.7,21.6,0.0
5659,1973-11-15,1973,11,15,16.2,29.6,24.2,0.0
5660,1973-11-16,1973,11,16,16.9,25.4,20.7,0.0
5662,1973-11-18,1973,11,18,11.4,30.9,20.2,0.0
5663,1973-11-19,1973,11,19,14.5,34.5,23.9,0.0
5664,1973-11-20,1973,11,20,16.9,36.3,26.2,0.0
5665,1973-11-21,1973,11,21,19.5,35.9,27.3,0.0
5666,1973-11-22,1973,11,22,21.6,32.2,29.7,0.0
5667,1973-11-23,1973,11,23,19.7,28.7,24.1,0.0
5670,1973-11-26,1973,11,26,15.3,27.5,22.7,0.0
5671,1973-11-27,1973,11,27,13.0,30.5,21.9,0.0
5672,1973-11-28,1973,11,28,12.5,35.0,23.4,0.0
5673,1973-11-29,1973,11,29,18.6,31.3,25.6,1.0
5674,1973-11-30,1973,11,30,16.5,26.2,21.6,0.0
5675,1973-12-01,1973,12,1,12.5,30.0,21.4,0.0
5676,1973-12-02,1973,12,2,11.7,34.0,24.2,0.0
5677,1973-12-03,1973,12,3,18.3,26.3,21.1,0.0
5678,1973-12-04,1973,12,4,10.8,27.0,21.2,0.0
5679,1973-12-05,1973,12,5,12.4,30.5,20.6,0.0
5681,1973-12-07,1973,12,7,5.3,26.6,17.8,0.3
5682,1973-12-08,1973,12,8,10.4,31.5,23.1,0.0
5683,1973-12-09,1973,12,9,15.8,32.2,24.7,0.0
5684,1973-12-10,1973,12,10,17.0,30.4,23.6,0.0
5686,1973-12-12,1973,12,12,17.0,34.3,26.2,0.0
5687,1973-12-13,1973,12,13,19.5,29.7,25.3,0.0
5690,1973-12-16,1973,12,16,16.4,33.7,28.3,0.0
5691,1973-12-17,1973,12,17,18.0,29.5,24.7,3.0
5692,1973-12-18,1973,12,18,18.2,32.6,25.2,0.0
5693,1973-12-19,1973,12,19,14.6,35.8,25.4,0.0
5694,1973-12-20,1973,12,20,16.5,35.6,25.9,0.0
5696,1973-12-22,1973,12,22,18.0,31.6,25.4,0.0
5697,1973-12-23,1973,12,23,16.6,34.8,25.1,0.0
5698,1973-12-24,1973,12,24,17.2,30.1,20.7,0.0
5699,1973-12-25,1973,12,25,14.2,26.4,20.1,4.1
5700,1973-12-26,1973,12,26,14.9,26.0,20.6,3.0
5701,1973-12-27,1973,12,27,16.4,27.9,21.3,0.0
5702,1973-12-28,1973,12,28,16.3,31.7,24.0,0.0
5703,1973-12-29,1973,12,29,17.4,36.1,24.4,0.0
5705,1973-12-31,1973,12,31,18.4,37.0,31.7,0.0
5707,1974-01-02,1974,1,2,20.1,30.3,25.2,0.0
5708,1974-01-03,1974,1,3,16.2,32.7,26.5,0.0
5709,1974-01-04,1974,1,4,21.0,40.0,28.3,0.0
5710,1974-01-05,1974,1,5,14.5,35.0,24.1,0.0
5711,1974-01-06,1974,1,6,14.9,35.8,23.9,0.0
5712,1974-01-07,1974,1,7,18.8,32.0,25.3,0.0
5713,1974-01-08,1974,1,8,16.4,31.0,25.3,0.0
5714,1974-01-09,1974,1,9,18.8,33.5,27.9,0.0
5715,1974-01-10,1974,1,10,18.3,30.0,24.6,0.0
5716,1974-01-11,1974,1,11,14.6,33.4,23.4,0.0
5717,1974-01-12,1974,1,12,18.0,37.1,26.8,0.0
5719,1974-01-14,1974,1,14,16.0,28.1,22.6,13.0
5720,1974-01-15,1974,1,15,13.6,35.3,23.6,0.0
5721,1974-01-16,1974,1,16,18.4,35.7,27.7,0.0
5722,1974-01-17,1974,1,17,21.3,34.5,30.7,0.0
5724,1974-01-19,1974,1,19,22.6,36.0,30.0,0.0
5727,1974-01-22,1974,1,22,14.8,26.1,21.3,0.0
5728,1974-01-23,1974,1,23,16.0,26.6,21.2,0.0
5729,1974-01-24,1974,1,24,15.4,27.0,21.0,9.9
5730,1974-01-25,1974,1,25,14.5,32.3,23.2,0.0
5731,1974-01-26,1974,1,26,16.5,34.5,26.8,0.0
5733,1974-01-28,1974,1,28,22.4,33.5,27.4,0.0
5734,1974-01-29,1974,1,29,21.0,36.9,28.9,0.0
5735,1974-01-30,1974,1,30,22.0,35.1,29.8,0.5
5736,1974-01-31,1974,1,31,21.0,38.8,30.3,0.0
5737,1974-02-01,1974,2,1,21.1,32.7,27.6,0.0
5738,1974-02-02,1974,2,2,17.0,24.9,20.6,15.0
5739,1974-02-03,1974,2,3,15.4,34.5,25.6,0.0
5740,1974-02-04,1974,2,4,20.0,35.5,27.9,0.0
5741,1974-02-05,1974,2,5,22.5,34.0,28.7,0.0
5742,1974-02-06,1974,2,6,20.0,33.8,27.0,0.0
5744,1974-02-08,1974,2,8,12.2,27.6,20.1,0.0
5745,1974-02-09,1974,2,9,15.4,28.0,22.2,0.0
5746,1974-02-10,1974,2,10,17.5,24.9,20.9,0.0
5747,1974-02-11,1974,2,11,17.0,29.0,23.2,0.0
5748,1974-02-12,1974,2,12,16.9,24.9,20.6,27.9
5749,1974-02-13,1974,2,13,18.3,27.5,21.7,0.0
5750,1974-02-14,1974,2,14,15.4,22.0,19.3,10.9
5751,1974-02-15,1974,2,15,13.0,19.0,16.2,0.0
5752,1974-02-16,1974,2,16,14.2,20.2,16.7,4.1
5753,1974-02-17,1974,2,17,15.1,25.8,20.1,0.0
5754,1974-02-18,1974,2,18,14.7,28.7,20.7,0.0
5755,1974-02-19,1974,2,19,16.2,24.9,21.4,1.0
5756,1974-02-20,1974,2,20,15.0,26.0,20.9,22.1
5757,1974-02-21,1974,2,21,15.1,27.3,22.2,2.0
5758,1974-02-22,1974,2,22,16.0,29.9,23.6,0.0
5759,1974-02-23,1974,2,23,16.5,31.3,25.2,0.0
5760,1974-02-24,1974,2,24,16.8,26.7,19.3,7.1
5761,1974-02-25,1974,2,25,16.9,19.8,18.8,7.9
5762,1974-02-26,1974,2,26,15.7,23.0,18.7,2.0
5763,1974-02-27,1974,2,27,14.3,28.8,21.6,0.0
5764,1974-02-28,1974,2,28,17.4,30.0,23.4,0.0
5765,1974-03-01,1974,3,1,18.0,25.9,22.7,0.0
5766,1974-03-02,1974,3,2,14.9,22.0,18.6,0.0
5767,1974-03-03,1974,3,3,10.1,28.3,20.2,0.0
5768,1974-03-04,1974,3,4,13.5,28.6,22.3,0.0
5769,1974-03-05,1974,3,5,14.5,31.5,24.4,0.0
5771,1974-03-07,1974,3,7,20.5,29.6,25.3,0.0
5773,1974-03-09,1974,3,9,18.2,28.4,24.2,22.1
5774,1974-03-10,1974,3,10,19.3,27.0,24.3,0.0
5776,1974-03-12,1974,3,12,16.5,24.5,20.3,0.0
5777,1974-03-13,1974,3,13,12.9,28.7,19.6,0.0
5778,1974-03-14,1974,3,14,13.0,26.0,19.0,7.9
5779,1974-03-15,1974,3,15,10.9,18.2,14.6,0.0
5780,1974-03-16,1974,3,16,7.0,26.3,17.1,0.0
5781,1974-03-17,1974,3,17,10.1,29.7,19.2,0.0
5782,1974-03-18,1974,3,18,12.4,29.5,20.6,0.0
5783,1974-03-19,1974,3,19,12.5,29.3,21.3,0.0
5785,1974-03-21,1974,3,21,15.5,29.9,23.1,0.0
5786,1974-03-22,1974,3,22,15.5,30.3,22.9,0.0
5787,1974-03-23,1974,3,23,15.1,31.1,23.3,0.0
5789,1974-03-25,1974,3,25,16.6,29.6,24.3,0.0
5790,1974-03-26,1974,3,26,17.2,29.2,23.2,0.0
5791,1974-03-27,1974,3,27,16.9,23.7,20.1,0.0
5793,1974-03-29,1974,3,29,13.9,25.7,19.4,0.0
5794,1974-03-30,1974,3,30,15.4,22.6,19.9,0.0
5795,1974-03-31,1974,3,31,13.6,24.4,19.1,0.0
5796,1974-04-01,1974,4,1,10.5,28.7,19.1,0.0
5797,1974-04-02,1974,4,2,10.4,28.7,19.6,0.0
5799,1974-04-04,1974,4,4,16.0,25.8,20.8,0.0
5801,1974-04-06,1974,4,6,14.3,29.2,22.1,0.0
5802,1974-04-07,1974,4,7,16.7,29.4,23.3,0.0
5805,1974-04-10,1974,4,10,12.5,28.0,21.4,0.0
5806,1974-04-11,1974,4,11,13.8,30.3,21.4,0.0
5807,1974-04-12,1974,4,12,15.0,30.4,21.7,0.0
5809,1974-04-14,1974,4,14,14.4,22.0,17.4,0.0
5810,1974-04-15,1974,4,15,12.0,23.7,16.2,0.0
5811,1974-04-16,1974,4,16,15.0,25.5,21.3,0.0
5812,1974-04-17,1974,4,17,14.0,22.1,18.8,0.0
5813,1974-04-18,1974,4,18,9.4,15.0,13.3,0.0
5815,1974-04-20,1974,4,20,4.4,20.0,10.1,0.0
5816,1974-04-21,1974,4,21,4.4,21.9,12.2,0.0
5818,1974-04-23,1974,4,23,5.9,24.2,15.6,0.0
5819,1974-04-24,1974,4,24,5.2,22.0,13.4,0.0
5820,1974-04-25,1974,4,25,12.3,18.8,16.0,0.0
5825,1974-04-30,1974,4,30,5.8,24.7,11.8,0.0
5826,1974-05-01,1974,5,1,6.5,25.1,14.0,0.0
5827,1974-05-02,1974,5,2,7.6,25.4,16.8,0.0
5828,1974-05-03,1974,5,3,7.7,25.4,15.7,0.0
5829,1974-05-04,1974,5,4,8.7,20.3,13.9,0.0
5830,1974-05-05,1974,5,5,11.9,21.0,16.1,0.0
5831,1974-05-06,1974,5,6,13.1,21.7,16.3,0.0
5833,1974-05-08,1974,5,8,11.0,22.5,15.1,0.0
5834,1974-05-09,1974,5,9,8.9,23.2,15.2,0.0
5835,1974-05-10,1974,5,10,11.7,22.9,16.2,0.0
5837,1974-05-12,1974,5,12,6.0,22.4,14.3,0.0
5839,1974-05-14,1974,5,14,5.1,19.5,13.1,0.0
5840,1974-05-15,1974,5,15,8.5,25.1,16.1,0.0
5841,1974-05-16,1974,5,16,8.0,25.9,17.7,0.0
5842,1974-05-17,1974,5,17,10.4,19.7,14.3,0.0
5843,1974-05-18,1974,5,18,3.0,15.0,8.8,0.0
5845,1974-05-20,1974,5,20,8.6,14.4,11.7,0.0
5848,1974-05-23,1974,5,23,5.9,9.0,7.1,3.0
5849,1974-05-24,1974,5,24,5.6,8.0,6.8,3.0
5850,1974-05-25,1974,5,25,2.3,13.9,9.3,0.0
5851,1974-05-26,1974,5,26,0.0,19.4,8.4,0.0
5852,1974-05-27,1974,5,27,1.9,20.8,10.7,0.0
5854,1974-05-29,1974,5,29,1.5,19.6,9.9,0.0
5855,1974-05-30,1974,5,30,2.4,16.5,9.0,0.0
5856,1974-05-31,1974,5,31,7.0,13.9,10.2,0.0
5857,1974-06-01,1974,6,1,2.7,16.4,7.4,0.0
5858,1974-06-02,1974,6,2,0.7,14.5,5.9,0.0
5859,1974-06-03,1974,6,3,-0.6,17.0,7.6,0.0
5861,1974-06-05,1974,6,5,0.1,15.2,7.0,0.0
5863,1974-06-07,1974,6,7,-0.6,16.2,6.7,0.0
5865,1974-06-09,1974,6,9,0.6,15.4,7.5,0.0
5866,1974-06-10,1974,6,10,-1.5,17.0,8.1,0.0
5867,1974-06-11,1974,6,11,3.9,12.6,8.2,0.0
5868,1974-06-12,1974,6,12,-1.5,13.0,5.3,0.0
5869,1974-06-13,1974,6,13,-3.0,13.5,4.4,0.0
5870,1974-06-14,1974,6,14,-2.3,16.0,6.1,0.0
5871,1974-06-15,1974,6,15,-1.7,14.4,6.8,0.0
5872,1974-06-16,1974,6,16,-1.5,14.4,6.9,0.0
5873,1974-06-17,1974,6,17,-2.6,14.8,5.3,0.0
5875,1974-06-19,1974,6,19,2.8,22.0,8.9,0.0
5877,1974-06-21,1974,6,21,-1.5,16.6,7.0,0.0
5878,1974-06-22,1974,6,22,-1.3,17.5,7.1,0.0
5879,1974-06-23,1974,6,23,-0.6,16.2,6.6,0.0
5880,1974-06-24,1974,6,24,0.1,14.6,8.1,0.0
5881,1974-06-25,1974,6,25,2.0,15.4,10.0,0.0
5883,1974-06-27,1974,6,27,3.0,19.8,9.7,0.0
5884,1974-06-28,1974,6,28,8.0,12.4,10.9,0.0
5885,1974-06-29,1974,6,29,4.0,24.4,9.9,0.0
5886,1974-06-30,1974,6,30,9.0,14.0,11.1,0.0
5887,1974-07-01,1974,7,1,6.9,11.5,8.8,0.0
5888,1974-07-02,1974,7,2,5.8,15.0,10.1,0.0
5889,1974-07-03,1974,7,3,2.5,16.8,9.7,0.0
5890,1974-07-04,1974,7,4,4.0,10.8,7.3,0.0
5891,1974-07-05,1974,7,5,4.9,16.9,9.7,17.0
5892,1974-07-06,1974,7,6,3.4,17.5,12.0,0.0
5893,1974-07-07,1974,7,7,3.5,17.5,10.0,0.0
5894,1974-07-08,1974,7,8,7.0,19.4,13.8,0.0
5895,1974-07-09,1974,7,9,9.4,16.6,13.0,0.0
5898,1974-07-12,1974,7,12,7.0,15.8,11.2,0.0
5900,1974-07-14,1974,7,14,2.0,15.0,9.3,0.0
5901,1974-07-15,1974,7,15,-0.6,15.4,7.8,0.0
5902,1974-07-16,1974,7,16,2.5,14.6,8.2,0.0
5903,1974-07-17,1974,7,17,0.9,16.2,8.5,0.0
5904,1974-07-18,1974,7,18,0.6,15.5,7.7,0.0
5905,1974-07-19,1974,7,19,-0.3,16.0,8.0,0.0
5906,1974-07-20,1974,7,20,3.2,10.0,7.4,0.0
5908,1974-07-22,1974,7,22,-0.5,3.0,0.8,0.0
5910,1974-07-24,1974,7,24,1.3,7.8,3.3,0.0
5911,1974-07-25,1974,7,25,-5.0,11.2,2.2,0.0
5913,1974-07-27,1974,7,27,-2.2,17.9,6.6,0.0
5914,1974-07-28,1974,7,28,2.4,20.5,12.5,0.0
5915,1974-07-29,1974,7,29,4.0,21.8,12.8,0.0
5916,1974-07-30,1974,7,30,3.5,17.0,12.4,0.0
5917,1974-07-31,1974,7,31,3.3,22.1,12.3,0.0
5918,1974-08-01,1974,8,1,7.0,19.7,13.4,0.0
5919,1974-08-02,1974,8,2,6.1,13.4,8.7,2.0
5920,1974-08-03,1974,8,3,5.8,13.2,8.1,3.0
5921,1974-08-04,1974,8,4,-0.5,14.9,8.8,0.0
